F12,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,gamma_8,gamma_9,gamma_10,gamma_11,gamma_12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06000000238418579,7.70314079486e-29,0.0144011098891,0.0155024556443,-1.33583689603e-29,0.0144011098891,0.0155024556443,-4.88958344288e-29,0.0156129915267,0.0145116457716,1.06656683766e-30,0.0156129915267,0.0145116457716
0.12000000476837158,-2.58248355503e-28,0.0305572133511,0.034957241267,-1.1591843573e-29,0.0305572133511,0.034957241267,2.6136198237e-28,0.0352404303849,0.030840402469,2.53596637348e-30,0.0352404303849,0.030840402469
0.1799999952316284,-1.17012052479e-28,0.0457896068692,0.0556720085442,1.40342770835e-29,0.0457896068692,0.0556720085442,5.0221699973e-28,0.0561361275613,0.0462537258863,1.19589303343e-30,0.0561361275613,0.0462537258863
0.24000000953674316,-3.27841665525e-29,0.0598166510463,0.0773437842727,4.6522147439e-28,0.0598166510463,0.0773437842727,5.9752982823e-28,0.0779908895493,0.0604637563229,5.52994860423e-31,0.0779908895493,0.0604637563229
0.3,8.32883330407e-28,0.0725333765149,0.099838629365,-1.74453779739e-28,0.0725333765149,0.099838629365,8.18343329699e-28,0.100669197738,0.0733639523387,2.14232999081e-31,0.100669197738,0.0733639523387
0.3599999904632568,3.21935656905e-27,0.0838820412755,0.123062305152,-1.59330133184e-27,0.0838820412755,0.123062305152,7.30804661864e-28,0.124076455832,0.084896184504,-5.48496986455e-30,0.124076455832,0.084896184504
0.4199999809265137,3.61126963863e-27,0.0938197746873,0.146928101778,-1.50003075945e-27,0.0938197746873,0.146928101778,8.75588708401e-28,0.148125857115,0.0950175225735,-6.74180729598e-30,0.148125857115,0.0950175225735
0.48000001907348633,4.58919561982e-27,0.102311134338,0.171349540353,-9.75224768144e-28,0.102311134338,0.171349540353,8.62754600141e-28,0.172730907798,0.103692486882,-1.75644171459e-30,0.172730907798,0.103692486882
0.5400000095367432,5.63107980853e-27,0.109326407313,0.19623889029,-1.11524960105e-27,0.109326407313,0.19623889029,8.57028328934e-28,0.197803854942,0.110891371965,-2.75096711143e-30,0.197803854942,0.110891371965
0.6,1.21615681307e-26,0.114841297269,0.221507072449,-1.42853157323e-27,0.114841297269,0.221507072449,1.29313388331e-27,0.223255634308,0.116589866579,1.02952270366e-29,0.223255634308,0.116589866579
0.6599999904632569,1.30493401757e-26,0.118836857378,0.247063875198,-7.02824144964e-27,0.118836857378,0.247063875198,1.76476446737e-27,0.248996049166,0.120769031346,3.72647462716e-29,0.248996049166,0.120769031346
0.7199999809265136,6.98264698414e-27,0.121299535036,0.272818297148,-1.55037976821e-26,0.121299535036,0.272818297148,1.92674307201e-27,0.274934053421,0.123415321112,6.57910759308e-30,0.274934053421,0.123415321112
0.7800000190734864,6.81211744314e-27,0.122221194208,0.298678725958,-1.43147824604e-26,0.122221194208,0.298678725958,8.77275245253e-28,0.300978094339,0.12452057749,-1.54623481187e-29,0.300978094339,0.12452057749
0.8399999618530274,6.66849083235e-27,0.122221194208,0.324458777905,-1.4272909662e-26,0.122221194208,0.324458777905,9.30165903758e-28,0.327129334211,0.12452057749,-3.5582455493e-29,0.327129334211,0.12452057749
0.9,6.69679275807e-27,0.122221194208,0.350160986185,-1.42455475901e-26,0.122221194208,0.350160986185,9.32875590893e-28,0.353206813335,0.12452057749,-1.24730156546e-28,0.353206813335,0.12452057749
0.9600000381469727,0.00230909511447,0.122221194208,0.373391747475,0.00230909511447,0.122221194208,0.373391747475,0.00230909511447,0.376802444458,0.12452057749,0.00230909511447,0.376802444458,0.12452057749
1.0199999809265137,0.00743140652776,0.122221194208,0.393548369408,0.00743140652776,0.122221194208,0.393548369408,0.00743140652776,0.397326290607,0.12452057749,0.00743140652776,0.397326290607,0.12452057749
1.0800000190734864,0.0140602467582,0.122221194208,0.411848366261,0.0140602467582,0.122221194208,0.411848366261,0.0140602467582,0.415993481874,0.12452057749,0.0140602467582,0.415993481874,0.12452057749
1.1399999618530274,0.0221713390201,0.122221194208,0.428227186203,0.0221713390201,0.122221194208,0.428227186203,0.0221713390201,0.432739496231,0.12452057749,0.0221713390201,0.432739496231,0.12452057749
1.2,0.0317352153361,0.122221194208,0.442627131939,0.0317352153361,0.122221194208,0.442627131939,0.0317352153361,0.447506666183,0.12452057749,0.0317352153361,0.447506666183,0.12452057749
1.2600000381469727,0.0427173189819,0.122221194208,0.454997628927,0.0427173189819,0.122221194208,0.454997628927,0.0427173189819,0.460244357586,0.12452057749,0.0427173189819,0.460244357586,0.12452057749
1.3199999809265137,0.0550781600177,0.122221194208,0.465295344591,0.0550781600177,0.122221194208,0.465295344591,0.0550781600177,0.470909267664,0.12452057749,0.0550781600177,0.470909267664,0.12452057749
